time(millisecond),latitude,longitude,height_above_takeoff(feet),height_sonar(feet),compass_heading(degrees),roll(degrees),battery_percent,voltageCell1
193600,12.8566868648834,100.973054447578,3.28084,3.608924,253.8,-0.3,87,4.145
193700,12.8566866269246,100.973053851054,3.28084,3.608924,253.7,-0.1,87,4.145
193800,12.8566864101632,100.973053066288,3.28084,3.608924,253.5,-0.3,87,4.145
193900,12.8566861896287,100.973052291645,3.28084,3.608924,253.6,-0.5,87,4.145
194000,12.8566860590455,100.973051388778,3.28084,3.937008,253.6,-0.7,87,4.145
194100,12.8566857851176,100.973050896849,3.28084,3.937008,253.7,0,87,4.145
194200,12.856685336618,100.973050057531,3.28084,3.937008,253.6,0.6,87,4.145
194300,12.8566848707601,100.973049158206,3.28084,3.937008,253.6,0.6,87,4.145
194400,12.8566844747665,100.973048551453,3.28084,3.937008,254.5,0.7,87,4.138
194500,12.8566842202468,100.973048017784,3.28084,3.937008,258,1.1,87,4.138
194600,12.8566839708657,100.973047580898,3.28084,3.937008,260,1.4,87,4.138
194700,12.8566839873748,100.973047658357,3.28084,3.937008,261.3,1.4,87,4.138
194800,12.8566842084011,100.97304793564,3.28084,3.937008,264,0.8,87,4.138
194900,12.8566839951388,100.973047475793,3.28084,3.937008,265.7,0.4,87,4.138
195000,12.8566838379341,100.97304708069,3.28084,3.937008,266.4,0.3,87,4.138
195100,12.8566836888086,100.973046621537,3.28084,3.937008,266.7,0,87,4.138
195200,12.856683483511,100.973045636606,3.28084,3.937008,269.1,0.3,87,4.138
195300,12.856683290816,100.973044876084,3.28084,3.937008,273.5,-0.1,87,4.138
195400,12.8566831633016,100.97304411399,3.28084,3.937008,278,1.5,87,4.144
195500,12.8566830597337,100.973043303961,3.28084,3.937008,279.8,1.1,87,4.144
195600,12.8566829765813,100.973042463958,3.28084,3.937008,281.3,1,87,4.144
195700,12.8566829624326,100.973041354001,3.28084,3.937008,284.6,1.8,87,4.144
195800,12.8566828750316,100.97304070101,3.28084,3.937008,286.9,1.9,87,4.144
195900,12.8566827777239,100.973040156189,3.28084,3.937008,287.9,2.4,87,4.144
196000,12.8566826983486,100.973039751983,3.28084,3.937008,287.9,2.5,87,4.144
196100,12.8566826758647,100.973040167217,3.28084,3.937008,288.4,1.5,87,4.144
196200,12.8566826699323,100.973040010347,3.28084,3.937008,289.2,1,87,4.144
196300,12.8566826573216,100.973039705455,3.608924,4.265092,289.5,0.7,87,4.144
196400,12.8566826085546,100.973039652617,3.937008,4.593176,289.5,0.3,87,4.139
196500,12.8566825671392,100.973039342259,4.593176,5.249344,289.6,0.2,87,4.139
196600,12.8566825220521,100.97303936319,4.92126,5.577428,289.7,-0.1,87,4.139
196700,12.8566825276238,100.973039541422,5.577428,6.233596,289.7,-0.2,87,4.139
